timestamp, frame, x, y, z, qx, qy, qz, qw
21141.435643708, 000111, 0.5464406, -0.4295235, -0.1900624, -0.3001359, 0.10059044, -0.94857484, 0.0024011498
21141.502315708, 000112, 0.5476065, -0.4222612, -0.17470369, -0.29530713, 0.10082647, -0.950067, 0.0006941236
21141.568987708, 000113, 0.5486038, -0.41645324, -0.16013168, -0.29201722, 0.10018663, -0.9511504, -0.0012425776
21141.63565975, 000114, 0.54900074, -0.41167066, -0.14260791, -0.28865412, 0.09934471, -0.9522643, -0.0014795996
21141.702331833, 000115, 0.55078006, -0.40740314, -0.12079932, -0.28601357, 0.09864838, -0.95313215, -0.0019843301
21141.769003791, 000116, 0.5535937, -0.40264702, -0.09890295, -0.28315428, 0.09717591, -0.9541374, -0.001557033
21141.835675791, 000117, 0.55710024, -0.39599985, -0.07566552, -0.28065988, 0.095370546, -0.9550572, -0.0004969093
21141.902347833, 000118, 0.55894977, -0.38642538, -0.05029046, -0.27802187, 0.09439647, -0.9559251, 0.0005534798
21141.969019833, 000119, 0.55801487, -0.37434474, -0.022975057, -0.275929, 0.09317024, -0.9566506, 0.0014574836
21142.035691916, 000120, 0.55677307, -0.35954693, 0.0029551238, -0.27327308, 0.09176597, -0.95754355, 0.0033561094
21142.102363875, 000121, 0.5573784, -0.34201032, 0.0255584, -0.27127734, 0.09032636, -0.95824087, 0.004933255
21142.169035875, 000122, 0.5584003, -0.32364747, 0.04605364, -0.27002653, 0.0892577, -0.95868355, 0.006685661
21142.235707958, 000123, 0.5596568, -0.30563563, 0.0665094, -0.26928446, 0.08882831, -0.9589207, 0.008153157
21142.302379916, 000124, 0.56056046, -0.2893578, 0.08513556, -0.26859012, 0.08784936, -0.95919114, 0.0097125145
21142.369052041, 000125, 0.5618698, -0.2748923, 0.10174507, -0.26814985, 0.08700279, -0.9593826, 0.010550391
21142.435723916, 000126, 0.5651422, -0.26312047, 0.1155219, -0.26771984, 0.086443916, -0.9595516, 0.010700207
21142.502396041, 000127, 0.5700021, -0.25352308, 0.13025051, -0.267287, 0.08645929, -0.95966613, 0.011113761
21142.569068125, 000128, 0.5751629, -0.24497034, 0.14636907, -0.26700562, 0.087228425, -0.95967484, 0.011109585
21142.635740041, 000129, 0.58034426, -0.23671636, 0.16266717, -0.26668945, 0.08768054, -0.9597193, 0.011308392
21142.702412166, 000130, 0.5858127, -0.22997849, 0.18076669, -0.26614925, 0.08853702, -0.95979303, 0.011095671
21142.769084125, 000131, 0.5919144, -0.22306459, 0.20292817, -0.2660105, 0.089554794, -0.9597408, 0.010770698
21142.835756, 000132, 0.59901524, -0.2173944, 0.22694819, -0.2658184, 0.08961625, -0.95979095, 0.010529956
